EPOCH,Loss,Accuracy
0,1.670419500090859,23.655292076344708
1,1.32357478575273,31.058415268941584
2,1.2941557938402348,53.20994794679005
3,0.9306486574086276,66.22325043377676
4,0.7537045244466175,80.68247541931753
5,0.45992927605455575,86.35049161364951
6,0.32789037132805043,87.21804511278195
7,0.2471827697601508,93.81145170618855
8,0.1234911704859273,98.2648930017351
9,0.1255360730966045,96.18276460381723
10,0.08825946970927444,98.14921920185078
11,0.09219221202153924,99.07460960092538
12,0.038625729069198395,99.47946790052053
13,0.06309318360766734,98.55407750144592
14,0.03242230727548952,99.8264893001735
15,0.007982791552455059,98.49624060150376
16,0.010665840501182671,99.8264893001735
17,0.002392724094302552,99.94216310005784
18,0.0035225962091565387,99.8264893001735
19,0.003990839574709588,100.0
20,0.00029329878881815765,100.0
21,0.00014659873481005805,100.0
22,0.00011755687084422045,100.0
23,9.948621900755164e-05,100.0
24,8.661274869981836e-05,100.0
25,7.794250284198576e-05,100.0
26,7.046779738133906e-05,100.0
27,6.410934736116112e-05,100.0
28,5.9147281482100054e-05,100.0
29,5.547812469330893e-05,100.0
30,5.110829554475706e-05,100.0
31,4.811421759995937e-05,100.0
32,4.526430262268894e-05,100.0
33,4.2698250547346105e-05,100.0
34,4.058331477484568e-05,100.0
35,4.327640912875226e-05,100.0
36,3.641531818203703e-05,100.0
37,3.481228754160591e-05,100.0
38,3.330839401459426e-05,100.0
39,3.1896767053364206e-05,100.0
40,3.0633547128838305e-05,100.0
41,2.9505068804072916e-05,100.0
42,2.838644846860916e-05,100.0
43,2.7394811298687603e-05,100.0
44,2.639577313733422e-05,100.0
45,2.5574828527458686e-05,100.0
46,2.4732522087395576e-05,100.0
47,2.3908682667504102e-05,100.0
48,2.319478950777342e-05,100.0
49,2.7224697294059298e-05,100.0
50,2.3034790720802532e-05,100.0
51,2.1225373708168924e-05,100.0
52,2.0574433766155793e-05,100.0
53,2.0012624759147002e-05,100.0
54,1.95609701749659e-05,100.0
55,2.4052500148999652e-05,100.0
56,1.8469442298655023e-05,100.0
57,1.805677069135279e-05,100.0
58,1.758994528544959e-05,100.0
59,1.7204229246978934e-05,100.0
