EPOCH,Loss,Accuracy
0,1.6571988485894114,47.267267267267265
1,0.921174593691556,64.56456456456456
2,0.5940285010860776,79.57957957957957
3,0.34530218873383867,92.01201201201201
4,0.2142744776507277,94.05405405405405
5,0.1382824782499569,97.95795795795796
6,0.11036744631077591,93.51351351351352
7,0.11589951018960863,96.15615615615616
8,0.07149607180354167,98.07807807807808
9,0.07039224308748501,98.85885885885885
10,0.029832091089118412,98.25825825825825
11,0.07663886338243929,99.15915915915916
12,0.08416361650611265,98.85885885885885
13,0.040006528506362986,99.3993993993994
14,0.023788564231132358,99.63963963963964
15,0.026522544918543965,99.81981981981981
16,0.02327391654521972,99.09909909909909
17,0.021065615616019488,99.87987987987988
18,0.018019547319437137,99.57957957957957
19,0.020241992607705744,99.81981981981981
20,0.02614567472688955,99.87987987987988
21,0.006947977131549467,100.0
22,0.0008473775951128084,100.0
23,0.00020342133810564124,100.0
24,0.00015572613840461445,100.0
25,0.00011311414521017314,100.0
26,0.00010438375097091578,100.0
27,8.389806572387966e-05,100.0
28,7.454616691163364e-05,100.0
29,6.737995453528678e-05,100.0
30,6.122380470497894e-05,100.0
31,5.6297740357267856e-05,100.0
32,5.303715411688279e-05,100.0
33,5.116666387656774e-05,100.0
34,4.527929115524013e-05,100.0
35,4.239961001659603e-05,100.0
36,3.9917205338535906e-05,100.0
37,3.7780629117030844e-05,100.0
38,3.8992998849419065e-05,100.0
39,3.389325425848925e-05,100.0
40,3.2298346501699235e-05,100.0
41,3.245197286937668e-05,100.0
42,2.9510148308718442e-05,100.0
43,2.8293811482708064e-05,100.0
44,2.724585526410027e-05,100.0
45,2.61880701534107e-05,100.0
46,2.5251667968301984e-05,100.0
47,2.4373840637041075e-05,100.0
48,2.3543030379787866e-05,100.0
49,2.277837599761043e-05,100.0
50,2.206261705447654e-05,100.0
51,2.140480970659687e-05,100.0
52,2.074401995398731e-05,100.0
53,2.0145281653957733e-05,100.0
54,2.1284243753400932e-05,100.0
55,2.013749122211094e-05,100.0
56,1.8463572795213786e-05,100.0
57,1.7980064468839322e-05,100.0
58,1.751651514513349e-05,100.0
59,1.7099183117380254e-05,100.0
