EPOCH,Loss,Accuracy
0,1.9709035687976413,43.498542274052475
1,1.051290566170657,36.501457725947525
2,0.6863949089138596,82.85714285714286
3,0.46525773626786693,74.57725947521865
4,0.3232051034768422,60.932944606414
5,0.19118847235761308,93.87755102040816
6,0.10524986749859871,91.54518950437318
7,0.08113217960905146,80.0
8,0.06654689654156014,91.4868804664723
9,0.06847693990157158,95.1603498542274
10,0.05143249767866952,99.067055393586
11,0.01929887193168893,99.70845481049562
12,0.018007478926813713,99.88338192419825
13,0.02968865139754834,99.65014577259475
14,0.04726995570861079,99.59183673469387
15,0.039831921699698326,74.6938775510204
16,0.01652277429605386,100.0
17,0.009607010402423502,99.18367346938776
18,0.0055815893542280216,99.94169096209913
19,0.0069455053523631285,99.00874635568513
20,0.008625103965944922,100.0
21,0.006606840164210924,98.77551020408163
22,0.008529190986236144,100.0
23,0.004537261604262447,100.0
24,0.0035785752299017514,100.0
25,0.0024297529587918826,100.0
26,0.002550981501742542,100.0
27,0.0019033050711085605,100.0
28,0.0032392258166240666,100.0
29,0.006382429008630829,100.0
30,0.004553175905904801,100.0
31,0.002781855305160948,100.0
32,0.0019838969827914196,100.0
33,0.001505732441458989,100.0
34,0.002435211655716153,100.0
35,0.0018756323942970656,100.0
36,0.0009655226601386892,100.0
37,0.007552451538989165,99.41690962099125
38,0.012290561628847004,99.88338192419825
39,0.0035144111682678123,100.0
40,0.0015694115006934023,100.0
41,0.0013433148539021473,100.0
42,0.001631014991963403,100.0
43,0.0011422890068691534,100.0
44,0.0023540569929065423,98.42565597667638
45,0.003333553474038598,100.0
46,0.004918622336979887,92.65306122448979
47,0.0033020146592106256,100.0
48,0.0022339988993028076,100.0
49,0.0023354081239193437,100.0
50,0.0013450485712382942,100.0
51,0.0010690576278580852,100.0
52,0.0010692512627833316,100.0
53,0.0011170913177785998,100.0
54,0.0007668949421915588,100.0
55,0.0005627592389053596,100.0
56,0.0007038900490712236,100.0
57,0.0016053066199809244,100.0
58,0.0005959580382666361,100.0
59,0.0006072274580354268,100.0
