EPOCH,Loss,Accuracy
0,6.265780806541443,25.77259475218659
1,2.9767333423649824,25.77259475218659
2,1.402932756476932,43.38192419825073
3,1.1133728700655479,43.38192419825073
4,0.9038046013425898,55.21865889212828
5,0.7327611424304821,57.84256559766764
6,0.6548044615321689,59.883381924198254
7,0.5580739467232315,83.9067055393586
8,0.49611938496430713,77.72594752186589
9,0.4216513440564827,85.24781341107872
10,0.34623481305661025,91.60349854227405
11,0.308853503730562,92.1865889212828
12,0.2943132435558019,92.4198250728863
13,0.19990915418774993,96.5597667638484
14,0.1681072631574891,95.04373177842565
15,0.1424337256078919,96.85131195335276
16,0.15055547727064955,98.01749271137027
17,0.15872369489322105,98.30903790087464
18,0.07470997858844283,97.78425655976676
19,0.09938269720792219,98.36734693877551
20,0.05916167659409068,97.49271137026238
21,0.05433647882158833,98.89212827988338
22,0.04325736260593489,99.65014577259475
23,0.06153090754809522,99.12536443148689
24,0.04844479779367922,99.12536443148689
25,0.04907613038085401,99.59183673469387
26,0.07758088028748278,97.90087463556851
27,0.052495099843427956,99.47521865889213
28,0.06279404411826464,98.83381924198251
29,0.03744388761158377,99.82507288629738
30,0.020445398514210764,99.76676384839651
31,0.014990265931474924,99.94169096209913
32,0.024641401270249236,97.60932944606414
33,0.05912217727206923,99.533527696793
34,0.029884754333545937,99.82507288629738
35,0.017010899959132075,99.88338192419825
36,0.012474416946740044,100.0
37,0.014438149317020024,100.0
38,0.006758339845098952,100.0
39,0.008121361198222817,99.82507288629738
40,0.035468086094759335,99.00874635568513
41,0.025254105176793894,100.0
42,0.003141354636682081,100.0
43,0.00516496951146379,99.533527696793
44,0.013254719432249354,99.65014577259475
45,0.016184825285239204,99.30029154518951
46,0.02168413512265909,100.0
47,0.06869142262278022,99.47521865889213
48,0.018030863983801316,99.94169096209913
49,0.01012460290628412,100.0
50,0.01041652118214255,100.0
51,0.005250041790094218,100.0
52,0.006423334487324071,100.0
53,0.001186600867973303,100.0
54,0.0015050438152549625,100.0
55,0.0008455953862907067,100.0
56,0.0037178199865963877,99.94169096209913
57,0.006011822356337386,100.0
58,0.013037980994542724,100.0
59,0.02544156955966375,100.0
