EPOCH,Loss,Accuracy
0,6.677952545993733,26.726726726726728
1,3.7019636597273484,45.46546546546546
2,1.0196395162141547,55.37537537537538
3,0.6865178959549598,73.63363363363364
4,0.577013189500233,73.09309309309309
5,0.4838571180150194,80.96096096096096
6,0.45677366149875354,81.56156156156156
7,0.401826413756869,80.18018018018019
8,0.351300281736086,85.52552552552552
9,0.3419243478301895,87.50750750750751
10,0.2976035811709908,88.16816816816817
11,0.2989440348069623,85.58558558558559
12,0.3349192093284625,84.92492492492492
13,0.48634187638197307,83.48348348348348
14,0.3238351052661876,82.64264264264264
15,0.2982976090795589,88.76876876876877
16,0.4166637854826338,88.46846846846847
17,0.26629269042245624,93.75375375375376
18,0.21372403847580812,95.67567567567568
19,0.17406401466929688,92.1921921921922
20,0.21417880606538844,96.21621621621621
21,0.16407975944567402,95.43543543543544
22,0.13971519296250387,90.3903903903904
23,0.17171683060532472,93.993993993994
24,0.1844752637536555,97.53753753753753
25,0.10037614168810113,98.37837837837837
26,0.12376856733605547,72.7927927927928
27,0.8551446899578397,78.85885885885885
28,0.3841799052678189,87.56756756756756
29,0.25834117436184073,94.53453453453453
30,0.1906128314868459,93.69369369369369
31,0.1606920235746382,96.69669669669669
32,0.13976027519565146,98.49849849849849
33,0.07656674201266384,97.5975975975976
34,0.0949860087437731,97.53753753753753
35,0.08880576116410699,97.65765765765765
36,0.0668136199830838,98.49849849849849
37,0.07243722326227657,99.45945945945945
38,0.06034078024493043,98.97897897897897
39,0.05033381157642547,99.3993993993994
40,0.022837347400161648,99.75975975975976
41,0.02455315710455219,99.15915915915916
42,0.029200378159623383,99.75975975975976
43,0.024633291332949465,99.51951951951952
44,0.024888592844121687,99.87987987987988
45,0.014678080006184624,99.93993993993993
46,0.04115556461740953,98.97897897897897
47,0.029189087693631113,99.33933933933933
48,0.016125043214794098,99.69969969969969
49,0.019494386193537997,99.63963963963964
50,0.015232779704641665,100.0
51,0.011772630675896269,99.81981981981981
52,0.015059576554329327,99.81981981981981
53,0.039965211294450985,98.85885885885885
54,0.033353817812826064,99.75975975975976
55,0.01538312132360484,100.0
56,0.011553870758534857,99.93993993993993
57,0.012043075274427878,99.93993993993993
58,0.014185121729102355,99.75975975975976
59,0.011109376930073508,100.0
